id_unico,type,genero
Movie_10192,Película,Comedy
Movie_10192,Película,Adventure
Movie_10192,Película,Fantasy
Movie_10192,Película,Animation
Movie_10192,Película,Family
Movie_27205,Película,Action
Movie_27205,Película,Science Fiction
Movie_27205,Película,Adventure
Movie_12444,Película,Adventure
Movie_12444,Película,Fantasy
Movie_38757,Película,Animation
Movie_38757,Película,Family
Movie_38757,Película,Adventure
Movie_10191,Película,Fantasy
Movie_10191,Película,Adventure
Movie_10191,Película,Animation
Movie_10191,Película,Family
Movie_11324,Película,Drama
Movie_11324,Película,Thriller
Movie_11324,Película,Mystery
Movie_38575,Película,Action
Movie_38575,Película,Adventure
Movie_38575,Película,Drama
Movie_38575,Película,Family
Movie_10138,Película,Adventure
Movie_10138,Película,Action
Movie_10138,Película,Science Fiction
Movie_38365,Película,Comedy
Movie_48650,Película,Drama
Movie_48650,Película,Romance
Movie_20352,Película,Animation
Movie_20352,Película,Family
Movie_20352,Película,Comedy
Movie_10193,Película,Animation
Movie_10193,Película,Family
Movie_10193,Película,Comedy
Movie_24021,Película,Adventure
Movie_24021,Película,Fantasy
Movie_24021,Película,Drama
Movie_24021,Película,Romance
Movie_12155,Película,Family
Movie_12155,Película,Fantasy
Movie_12155,Película,Adventure
Movie_73861,Película,Crime
Movie_73861,Película,Horror
Movie_73861,Película,Thriller
Movie_38234,Película,Action
Movie_38234,Película,Thriller
Movie_38234,Película,Crime
Movie_38234,Película,Drama
Movie_37799,Película,Drama
Movie_61979,Película,Romance
Movie_61979,Película,Drama
Movie_32657,Película,Adventure
Movie_32657,Película,Fantasy
Movie_32657,Película,Family
Movie_23168,Película,Crime
Movie_23168,Película,Drama
Movie_23168,Película,Thriller
Movie_34851,Película,Science Fiction
Movie_34851,Película,Action
Movie_34851,Película,Thriller
Movie_38055,Película,Animation
Movie_38055,Película,Action
Movie_38055,Película,Comedy
Movie_38055,Película,Family
Movie_38055,Película,Science Fiction
Movie_10140,Película,Adventure
Movie_10140,Película,Family
Movie_10140,Película,Fantasy
Movie_27578,Película,Thriller
Movie_27578,Película,Adventure
Movie_27578,Película,Action
Movie_18823,Película,Adventure
Movie_18823,Película,Fantasy
Movie_18823,Película,Action
Movie_44214,Película,Drama
Movie_44214,Película,Thriller
Movie_44214,Película,Horror
Movie_23483,Película,Action
Movie_23483,Película,Crime
Movie_20526,Película,Adventure
Movie_20526,Película,Action
Movie_20526,Película,Science Fiction
Movie_52629,Película,Action
Movie_52629,Película,Crime
Movie_52629,Película,Western
Movie_52629,Película,Comedy
Movie_52629,Película,Drama
Movie_26389,Película,Action
Movie_26389,Película,Crime
Movie_26389,Película,Thriller
Movie_10196,Película,Action
Movie_10196,Película,Adventure
Movie_10196,Película,Fantasy
Movie_27581,Película,Action
Movie_27581,Película,Comedy
Movie_27581,Película,Crime
Movie_27581,Película,Thriller
Movie_47931,Película,Drama
Movie_47931,Película,Action
Movie_47931,Película,Crime
Movie_9543,Película,Adventure
Movie_9543,Película,Fantasy
Movie_9543,Película,Action
Movie_22538,Película,Action
Movie_22538,Película,Comedy
Movie_22538,Película,Romance
Movie_22894,Película,Horror
Movie_22894,Película,Action
Movie_22894,Película,Fantasy
Movie_51608,Película,Action
Movie_51608,Película,Thriller
Movie_51608,Película,Crime
Movie_43947,Película,Thriller
Movie_43947,Película,Crime
Movie_43947,Película,Horror
Movie_44115,Película,Adventure
Movie_44115,Película,Drama
Movie_44115,Película,Thriller
Movie_39514,Película,Action
Movie_39514,Película,Adventure
Movie_39514,Película,Comedy
Movie_39514,Película,Crime
Movie_39514,Película,Thriller
Movie_573531,Película,Animation
Movie_573531,Película,War
Movie_573531,Película,Action
Movie_573531,Película,Science Fiction
Movie_35552,Película,Fantasy
Movie_35552,Película,Adventure
Movie_35552,Película,Action
Movie_35552,Película,Mystery
Movie_27576,Película,Action
Movie_27576,Película,Mystery
Movie_27576,Película,Thriller
Movie_46738,Película,Drama
Movie_46738,Película,War
Movie_46738,Película,Mystery
Movie_44918,Película,Action
Movie_44918,Película,Thriller
Movie_44918,Película,Romance
Movie_44918,Película,Adventure
Movie_43949,Película,Romance
Movie_43949,Película,Drama
Movie_43347,Película,Drama
Movie_43347,Película,Comedy
Movie_43347,Película,Romance
Movie_35019,Película,Comedy
Movie_35019,Película,Fantasy
Movie_35019,Película,Family
Movie_43593,Película,Comedy
Movie_43593,Película,Horror
Movie_44683,Película,Animation
Movie_44683,Película,Adventure
Movie_44683,Película,Family
Movie_44683,Película,Fantasy
Movie_20504,Película,Action
Movie_20504,Película,Thriller
Movie_20504,Película,Science Fiction
Movie_7978,Película,Horror
Movie_7978,Película,Thriller
Movie_48466,Película,Animation
Movie_48466,Película,Comedy
Movie_48466,Película,Family
Movie_34544,Película,Action
Movie_34544,Película,Comedy
Movie_34544,Película,Crime
Movie_38167,Película,Drama
Movie_38167,Película,Romance
Movie_72641,Película,Science Fiction
Movie_72641,Película,Animation
Movie_26022,Película,Drama
Movie_26022,Película,Romance
Movie_50723,Película,Adventure
