id_unico,type,pais
Movie_10192,Película,United States
Movie_27205,Película,United Kingdom
Movie_27205,Película,United States
Movie_12444,Película,United Kingdom
Movie_12444,Película,United States
Movie_38757,Película,United States
Movie_10191,Película,United States
Movie_11324,Película,United States
Movie_38575,Película,China
Movie_38575,Película,Hong Kong
Movie_38575,Película,United States
Movie_10138,Película,United States
Movie_38365,Película,United States
Movie_48650,Película,France
Movie_48650,Película,Spain
Movie_20352,Película,United States
Movie_10193,Película,United States
Movie_24021,Película,United States
Movie_12155,Película,United States
Movie_73861,Película,Serbia
Movie_38234,Película,United States
Movie_37799,Película,United States
Movie_61979,Película,Spain
Movie_32657,Película,United States
Movie_23168,Película,United Kingdom
Movie_23168,Película,United States
Movie_34851,Película,United States
Movie_38055,Película,United States
Movie_10140,Película,United Kingdom
Movie_10140,Película,United States
Movie_27578,Película,Bulgaria
Movie_27578,Película,United States
Movie_18823,Película,United States
Movie_44214,Película,United States
Movie_23483,Película,United Kingdom
Movie_23483,Película,United States
Movie_20526,Película,United States
Movie_52629,Película,Mexico
Movie_26389,Película,United Kingdom
Movie_26389,Película,France
Movie_10196,Película,United States
Movie_27581,Película,United States
Movie_47931,Película,Brazil
Movie_9543,Película,United States
Movie_22538,Película,Japan
Movie_22538,Película,United Kingdom
Movie_22538,Película,United States
Movie_22894,Película,United States
Movie_51608,Película,South Korea
Movie_43947,Película,United States
Movie_44115,Película,France
Movie_44115,Película,United Kingdom
Movie_44115,Película,United States
Movie_39514,Película,United States
Movie_573531,Película,Germany
Movie_573531,Película,Japan
Movie_573531,Película,United States
Movie_35552,Película,France
Movie_27576,Película,United States
Movie_46738,Película,Canada
Movie_46738,Película,France
Movie_44918,Película,United States
Movie_43949,Película,United States
Movie_43347,Película,United States
Movie_35019,Película,United States
Movie_35019,Película,United Kingdom
Movie_35019,Película,France
Movie_43593,Película,United States
Movie_44683,Película,India
Movie_44683,Película,United States
Movie_20504,Película,United States
Movie_7978,Película,United States
Movie_48466,Película,United States
Movie_34544,Película,United Kingdom
Movie_34544,Película,United States
Movie_38167,Película,United States
Movie_26022,Película,China
Movie_26022,Película,India
Movie_26022,Película,United Arab Emirates
Movie_26022,Película,United States
Movie_50723,Película,Japan
Movie_49797,Película,South Korea
Movie_51620,Película,South Africa
Movie_51620,Película,Germany
Movie_46705,Película,United States
Movie_33217,Película,United Kingdom
Movie_33217,Película,United States
Movie_20662,Película,United States
Movie_51739,Película,France
Movie_51739,Película,Japan
Movie_51739,Película,United States
Movie_25195,Película,Ireland
Movie_25195,Película,United States
Movie_27022,Película,United States
Movie_34016,Película,United States
Movie_44363,Película,United States
Movie_41439,Película,United States
Movie_37834,Película,United States
Movie_46838,Película,Canada
Movie_46838,Película,United States
Movie_37707,Película,Canada
Movie_37707,Película,France
